freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,EU27_2020_FOR,PER,N29-91,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	206923 u	: 
A,EU27_2020_FOR,PER,N29-91,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u
A,EU27_2020_FOR,PER,N29-91,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	846411 u	670946 u	976818 u	988423 u
A,EU27_2020_FOR,PER,N29-91,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	1412955 	1776942 	2479913 	2686041 
A,EU27_2020_FOR,PER,N29-91,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	21189 u	22988 u
A,EU27_2020_FOR,PER,N29-91,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	76669 u	110402 u	130953 u	148617 
A,EU27_2020_FOR,PER,N29-91,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	1816494 	2185992 	3223601 	3394047 e
A,EU27_2020_FOR,PER,N29-91,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	80384 u	140851 u
A,EU27_2020_FOR,PER,N29-91,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: u	139922 u	101430 u	150530 u
A,EU27_2020_FOR,PER,N29-91,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	4215 u	7000 u	21079 u	24704 u
A,EU27_2020_FOR,PER,N29-91,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	5711 u	: u	93041 u	: u
A,EU27_2020_FOR,PER,N29-91,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	6247 	4935 u	: u	12648 
A,EU27_2020_FOR,PER,N29-91,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	30711 	43411 	49276 	33324 
A,EU27_2020_FOR,PER,N29-91,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N29-91,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	125603 	321010 	650491 	752622 
A,EU27_2020_FOR,PER,N29-91,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	96848 u	124337 u
A,EU27_2020_FOR,PER,N29-91,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	283381 	199046 	406170 	297331 
A,EU27_2020_FOR,PER,N29-91,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	16559 u	16318 u	13845 u
A,EU27_2020_FOR,PER,N29-91,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,EU27_2020_FOR,PER,N29-91,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	150328 u	: u	: 
A,EU27_2020_FOR,PER,N29-91,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N29-91,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,EU27_2020_FOR,PER,N4-7,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	45632 	: 	: 	: 
A,EU27_2020_FOR,PER,N4-7,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	962825 	2407807 	4050769 	4630882 
A,EU27_2020_FOR,PER,N4-7,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1600352 	1959109 	3918489 	3791854 
A,EU27_2020_FOR,PER,N4-7,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	44989 u	: u	298784 	409916 
A,EU27_2020_FOR,PER,N4-7,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1684614 	1946743 	3312824 	: 
A,EU27_2020_FOR,PER,N4-7,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	103351 	132899 	418879 	566487 
A,EU27_2020_FOR,PER,N4-7,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1024224 	1417103 	2905605 	3292228 
A,EU27_2020_FOR,PER,N4-7,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	10591983 	13671613 	26831787 	31112533 
A,EU27_2020_FOR,PER,N4-7,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1007358 	1080711 	1971410 	2116758 
A,EU27_2020_FOR,PER,N4-7,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	21429197 	30315255 	62393817 	70610366 
A,EU27_2020_FOR,PER,N4-7,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	106283 	118310 	237899 	322698 
A,EU27_2020_FOR,PER,N4-7,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	48967 	99756 	262527 	320295 
A,EU27_2020_FOR,PER,N4-7,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	810002 	1412325 	3182086 	3856857 
A,EU27_2020_FOR,PER,N4-7,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	27010603 	37741677 	78271388 	88847007 e
A,EU27_2020_FOR,PER,N4-7,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	468604 	399058 	1501246 	1762134 
A,EU27_2020_FOR,PER,N4-7,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	2151584 	3485911 	6848700 	7640660 
A,EU27_2020_FOR,PER,N4-7,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	79456 	62615 	235623 	359215 
A,EU27_2020_FOR,PER,N4-7,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	602575 	752579 	1832613 	2205637 
A,EU27_2020_FOR,PER,N4-7,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	420952 	432631 	1947172 	2176527 
A,EU27_2020_FOR,PER,N4-7,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	754365 	985710 	2843220 	2631796 
A,EU27_2020_FOR,PER,N4-7,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	149007 	196746 	475215 	517586 
A,EU27_2020_FOR,PER,N4-7,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	367257 	477194 	753843 	780223 
A,EU27_2020_FOR,PER,N4-7,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	49071 u	104358 	316004 	334015 
A,EU27_2020_FOR,PER,N4-7,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	14568 u	44467 	: 	: 
A,EU27_2020_FOR,PER,N4-7,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	55515 	105900 	244382 	322820 
A,EU27_2020_FOR,PER,N4-7,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	1955598 	2827430 	5651105 	6387137 
A,EU27_2020_FOR,PER,N4-7,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	544021 	2191017 	2101769 
A,EU27_2020_FOR,PER,N4-7,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	2079580 	2385318 	3769798 	4645576 
A,EU27_2020_FOR,PER,N4-7,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	141714 	250967 	601746 	775288 
A,EU27_2020_FOR,PER,N4-7,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	240558 	576460 	854487 	1062501 
A,EU27_2020_FOR,PER,N4-7,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	582121 	1186147 	4244873 	: 
A,EU27_2020_FOR,PER,N4-7,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	324609 	562580 	941232 	1045073 
A,EU27_2020_FOR,PER,N4-7,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	287701 	622334 	1131892 	1276284 
A,EU27_2020_FOR,PER,N8-14,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	24548 u	: 	: 	: 
A,EU27_2020_FOR,PER,N8-14,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	432786 	1126015 	1735097 	1616539 
A,EU27_2020_FOR,PER,N8-14,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	1063042 	1492917 	2397718 	2470775 
A,EU27_2020_FOR,PER,N8-14,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	65968 u	91161 
A,EU27_2020_FOR,PER,N8-14,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	1343978 	1432774 	2295019 	: 
A,EU27_2020_FOR,PER,N8-14,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	29852 u	59700 	74890 u	138050 
A,EU27_2020_FOR,PER,N8-14,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	468632 	661760 	951300 	904829 
A,EU27_2020_FOR,PER,N8-14,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	7559697 	11386363 	16785171 	18154603 
A,EU27_2020_FOR,PER,N8-14,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	419580 	395593 	712362 	751988 
A,EU27_2020_FOR,PER,N8-14,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	13251831 	21393382 	34541936 	36320197 
A,EU27_2020_FOR,PER,N8-14,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	30517 u	42372 u	92773 	109668 
A,EU27_2020_FOR,PER,N8-14,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	33132 u	35864 	82025 	95714 
A,EU27_2020_FOR,PER,N8-14,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	350033 	650232 	1430574 	1319610 
A,EU27_2020_FOR,PER,N8-14,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	15995898 	24599911 	41316026 	43392583 e
A,EU27_2020_FOR,PER,N8-14,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	239378 	151027 u	1052234 	564409 
A,EU27_2020_FOR,PER,N8-14,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1093166 	1960190 	3216817 	3438638 
A,EU27_2020_FOR,PER,N8-14,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	35596 u	33557 u	58952 	79406 
A,EU27_2020_FOR,PER,N8-14,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	231039 	350963 	586402 	609020 
A,EU27_2020_FOR,PER,N8-14,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	135830 	164388 	996641 	1272304 
A,EU27_2020_FOR,PER,N8-14,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	778206 	1125311 	1279899 
A,EU27_2020_FOR,PER,N8-14,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	44502 	66360 	148634 	171257 
A,EU27_2020_FOR,PER,N8-14,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	200952 	289533 	374479 	338675 
A,EU27_2020_FOR,PER,N8-14,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	48800 u	89605 	134697 
A,EU27_2020_FOR,PER,N8-14,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	7712 u	36218 	: 	: 
A,EU27_2020_FOR,PER,N8-14,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	6182 u	20747 	28712 	37102 
A,EU27_2020_FOR,PER,N8-14,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	1390245 	2440869 	3864039 	3918962 
A,EU27_2020_FOR,PER,N8-14,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	231492 	1005918 	824379 
A,EU27_2020_FOR,PER,N8-14,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1043309 	1044054 	1854612 	1908802 
A,EU27_2020_FOR,PER,N8-14,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	45207 	102483 	197734 	232131 
A,EU27_2020_FOR,PER,N8-14,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	49264 u	108638 	225151 	283093 
A,EU27_2020_FOR,PER,N8-14,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	526668 	635161 	2378295 	: 
A,EU27_2020_FOR,PER,N8-14,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	195335 	316837 	412700 	443512 
A,EU27_2020_FOR,PER,N8-14,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	120747 u	226922 	377830 	504246 
A,EU27_2020_FOR,PER,N92-365,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,EU27_2020_FOR,PER,N92-365,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	72739 u	: u	125593 u	: u
A,EU27_2020_FOR,PER,N92-365,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	91838 	81170 	142143 	136617 e
A,EU27_2020_FOR,PER,N92-365,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,EU27_2020_FOR,PER,N92-365,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u
A,EU27_2020_FOR,PER,N92-365,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,EU27_2020_FOR,PER,N92-365,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 
A,EU27_2020_FOR,PER,N92-365,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,EU27_2020_FOR,PER,N92-365,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	8518 u	57824 	16550 u	14527 u
A,EU27_2020_FOR,PER,N92-365,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,EU27_2020_FOR,PER,N_GE1,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	132097 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2745537 	5693822 	10335638 	11442751 
A,EU27_2020_FOR,PER,N_GE1,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	4725487 	6031294 	10582022 	11104802 
A,EU27_2020_FOR,PER,N_GE1,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	106281 	77016 	480738 	715572 
A,EU27_2020_FOR,PER,N_GE1,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	5077041 	5189364 	9399768 	: 
A,EU27_2020_FOR,PER,N_GE1,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	252800 	298571 	767239 	1027870 
A,EU27_2020_FOR,PER,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	2094984 	2601456 	5277538 	5969617 
A,EU27_2020_FOR,PER,N_GE1,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	27454006 	37861817 	62702871 	69259601 
A,EU27_2020_FOR,PER,N_GE1,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	2265534 	2411296 	4069834 	4427008 
A,EU27_2020_FOR,PER,N_GE1,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	57774619 	83623396 	152498274 	169697612 
A,EU27_2020_FOR,PER,N_GE1,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	292016 	291253 	684636 	870169 
A,EU27_2020_FOR,PER,N_GE1,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	136195 	195950 	480715 	541750 
A,EU27_2020_FOR,PER,N_GE1,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	2435582 	3725116 	7871567 	8753200 
A,EU27_2020_FOR,PER,N_GE1,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	71270363 	99635202 	186411970 	207411206 e
A,EU27_2020_FOR,PER,N_GE1,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1478679 	1265344 	4216754 	4921417 
A,EU27_2020_FOR,PER,N_GE1,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	6040884 	8845429 	16791163 	19621815 
A,EU27_2020_FOR,PER,N_GE1,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	243030 	246873 	630558 	1013244 
A,EU27_2020_FOR,PER,N_GE1,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1905161 	1976433 	4091998 	4586607 
A,EU27_2020_FOR,PER,N_GE1,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	850525 	862625 	3979938 	4572925 
A,EU27_2020_FOR,PER,N_GE1,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1808737 	2718243 	5758578 	5503169 
A,EU27_2020_FOR,PER,N_GE1,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	337109 	421475 	910033 	1034779 
A,EU27_2020_FOR,PER,N_GE1,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	1138384 	1476294 	2149224 	2241401 
A,EU27_2020_FOR,PER,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	300743 	322014 	866247 	1027321 
A,EU27_2020_FOR,PER,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	32297 	104898 	: 	: 
A,EU27_2020_FOR,PER,N_GE1,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	105267 	187898 	398573 	515034 
A,EU27_2020_FOR,PER,N_GE1,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	5333024 	9750465 	17089385 	18356584 
A,EU27_2020_FOR,PER,N_GE1,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1485517 	5359893 	5138460 
A,EU27_2020_FOR,PER,N_GE1,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	4464113 	4859746 	8183800 	9233197 
A,EU27_2020_FOR,PER,N_GE1,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	350379 	551443 	1333708 	1772674 
A,EU27_2020_FOR,PER,N_GE1,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	351892 	788563 	1262171 	1590037 
A,EU27_2020_FOR,PER,N_GE1,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	2307780 	3297295 	10547617 	: 
A,EU27_2020_FOR,PER,N_GE1,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	981099 	1588407 	2331323 	2902947 
A,EU27_2020_FOR,PER,N_GE1,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	765137 	1289062 	2618100 	3214158 
A,EU27_2020_FOR,PER,N_GE4,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	100136 	: 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	1509525 	3796490 	6233127 	6767208 
A,EU27_2020_FOR,PER,N_GE4,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	3334623 	4350720 	7328722 	7426213 
A,EU27_2020_FOR,PER,N_GE4,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	68327 u	52552 u	378662 	521871 
A,EU27_2020_FOR,PER,N_GE4,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3544666 	3929534 	6714367 	: 
A,EU27_2020_FOR,PER,N_GE4,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	180892 	242093 	550931 	754261 
A,EU27_2020_FOR,PER,N_GE4,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1519440 	2111287 	3975823 	4268272 
A,EU27_2020_FOR,PER,N_GE4,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	21093336 	29363917 	49730781 	54962819 
A,EU27_2020_FOR,PER,N_GE4,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1553903 	1647396 	2926009 	3131091 
A,EU27_2020_FOR,PER,N_GE4,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	40859636 	61838722 	110815404 	120265225 
A,EU27_2020_FOR,PER,N_GE4,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	150123 	181704 	356242 	461869 
A,EU27_2020_FOR,PER,N_GE4,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	111301 	156144 	393202 	456314 
A,EU27_2020_FOR,PER,N_GE4,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	1375167 	2462203 	5110156 	5673381 
A,EU27_2020_FOR,PER,N_GE4,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	50198180 	73669245 	136043228 	148132476 e
A,EU27_2020_FOR,PER,N_GE4,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	850854 	688714 	2939832 	2664833 
A,EU27_2020_FOR,PER,N_GE4,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	3798503 	6495291 	11227270 	12382716 
A,EU27_2020_FOR,PER,N_GE4,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	143999 	134217 	308072 	474117 
A,EU27_2020_FOR,PER,N_GE4,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	857661 	1118313 	2451744 	2851711 
A,EU27_2020_FOR,PER,N_GE4,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	616327 	736660 	3261539 	3613183 
A,EU27_2020_FOR,PER,N_GE4,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1161374 	2167764 	4449491 	4163488 
A,EU27_2020_FOR,PER,N_GE4,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	218640 	275113 	673348 	742527 
A,EU27_2020_FOR,PER,N_GE4,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	710634 	942748 	1350771 	1321680 
A,EU27_2020_FOR,PER,N_GE4,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	112354 u	178813 	421007 	510101 
A,EU27_2020_FOR,PER,N_GE4,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	24599 	85297 	: 	: 
A,EU27_2020_FOR,PER,N_GE4,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	64006 	133694 	281737 	366564 
A,EU27_2020_FOR,PER,N_GE4,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	4216625 	7301332 	12376177 	13065482 
A,EU27_2020_FOR,PER,N_GE4,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1000149 	3555443 	3433261 
A,EU27_2020_FOR,PER,N_GE4,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	3604206 	3879804 	6545573 	7410921 
A,EU27_2020_FOR,PER,N_GE4,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	213276 	392276 	856712 	1058926 
A,EU27_2020_FOR,PER,N_GE4,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	313939 	731231 	1128025 	1383861 
A,EU27_2020_FOR,PER,N_GE4,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1421067 	2289941 	7821988 	: 
A,EU27_2020_FOR,PER,N_GE4,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	579214 	954766 	1433954 	1576100 
A,EU27_2020_FOR,PER,N_GE4,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	418864 	884063 	1532334 	1823443 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	23032 u	: 	: 	: 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	528673 	649098 	1218799 	1263564 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	297584 	455209 	484741 	700652 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	34236 u
A,EU27_2020_FOR,PER_VFR,N1-3,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	574820 	491319 	783347 	: 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	50330 u	29198 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	165766 u	140415 u	430085 	290073 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1516402 	2794411 	2099559 	3402054 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	134565 u	122360 u	227874 u	251910 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	4031489 	6184394 	7522064 	9899673 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	20876 u	: u	49948 	60862 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,EU27_2020_FOR,PER_VFR,N1-3,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	202844 	308329 	504705 	400924 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	5504650 	7685213 	10528451 	12678382 e
A,EU27_2020_FOR,PER_VFR,N1-3,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	89164 u	115019 u	224712 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	526229 	618181 	1104682 	1403983 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	49408 u	33639 u	60891 	127217 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	520969 	499411 	663532 	545650 
A,EU27_2020_FOR,PER_VFR,N1-3,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	38288 	: u	119471 u	194506 u
