freq,purpose,c_dest,duration,age,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER,DOM,N1-3,Y15-24,NR,RO	3325572 	3360482 	3572793 	3381345 	3517241 	3703153 	3781528 	3669743 	2302381 	3787496 	3508296 	8820203 
A,PER,DOM,N1-3,Y15-24,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y15-24,NR,SE	: 	: 	5782972 	6281411 	5620346 	4678499 	4767755 	5962168 	9702438 	7066904 	9170214 	: 
A,PER,DOM,N1-3,Y15-24,NR,SI	424351 	424936 	387671 	201588 	359665 	325395 	297107 	366165 	287645 	689386 	532352 	802760 
A,PER,DOM,N1-3,Y15-24,NR,SK	939986 	697393 bu	: u	897454 u	980569 u	672945 u	410902 u	497891 u	288402 u	395479 u	486548 u	413976 u
A,PER,DOM,N1-3,Y15-24,NR,UK	16572512 	16715752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-34,NR,AL	: 	: 	: 	: 	: 	785255 	: 	834226 	664862 	: 	: 	: 
A,PER,DOM,N1-3,Y25-34,NR,AT	1789481 	2143837 	2443213 	2060153 	2504831 	2257313 	2366624 	2887917 	2717828 	2619427 	3584481 	3498414 
A,PER,DOM,N1-3,Y25-34,NR,BE	466832 	775620 	554287 	911735 	534853 	848332 b	922078 	1246216 	963559 	1552102 	1204829 	1234485 
A,PER,DOM,N1-3,Y25-34,NR,BG	802765 b	700556 	1067757 	737448 	690493 	1112280 	892411 	1170584 	613784 	898789 	841134 	820169 
A,PER,DOM,N1-3,Y25-34,NR,CH	1355852 	1258607 	1077481 	1247526 	1301224 	1055555 	988406 	1639290 	1575413 	1830779 	1172804 	: 
A,PER,DOM,N1-3,Y25-34,NR,CY	519989 b	363688 	399513 	355885 	278502 	241850 	245704 	244937 	217055 	245316 	201125 	360569 
A,PER,DOM,N1-3,Y25-34,NR,CZ	7750225 	7462273 	7041879 	6144766 	7375598 	7473932 	6596028 	6851102 	4594776 	4411402 	5089905 	5107561 
A,PER,DOM,N1-3,Y25-34,NR,DE	31540220 	34140120 	29723113 	34256312 	35729858 	30229720 	33556411 	32256051 	25757510 	29911791 	33522420 	34413666 
A,PER,DOM,N1-3,Y25-34,NR,DK	4307173 	4179760 b	4493058 	4133640 	4506123 	3714108 	2150477 	3524914 	4551921 	3518566 	3014908 	2619949 
A,PER,DOM,N1-3,Y25-34,NR,EA20	129229600 	127932582 	119593161 	126724723 	126745188 	127200485 	126217598 	120439711 	90744629 	108698592 	112897484 	121405320 
A,PER,DOM,N1-3,Y25-34,NR,EE	652503 	669219 	835075 	936725 	1144787 	1139737 	1564790 	1039073 	739829 	612249 	765251 	898455 
A,PER,DOM,N1-3,Y25-34,NR,EL	1133234 	447653 	580253 	558353 	497095 	398752 	592316 	476611 	394561 	395511 	689606 	560043 
A,PER,DOM,N1-3,Y25-34,NR,ES	26156526 	23811135 	21829956 	28443225 b	29754606 	30318912 	28734073 	27028755 	15353237 	21974158 	22488288 	15453583 
A,PER,DOM,N1-3,Y25-34,NR,EU27_2020	168995885 e	165438911 e	155957415 	163122664 	163077896 	163852577 	160596237 	155191329 	120655437 	141721012 	145219194 	152455293 e
A,PER,DOM,N1-3,Y25-34,NR,FI	7682015 b	8157337 	7967056 	8133632 	7894093 	8193608 	7570143 	7683809 	5688685 	7571957 	6709905 	5029883 
A,PER,DOM,N1-3,Y25-34,NR,FR	37386479 	36853648 	36571971 	32842301 	29704588 	33512024 	29744936 	28606263 	25055684 	25738721 	24390387 	41148010 
A,PER,DOM,N1-3,Y25-34,NR,HR	1140819 	1357699 	682001 	700472 	500419 	532695 	750894 	566737 	471662 	595811 	718214 	714758 
A,PER,DOM,N1-3,Y25-34,NR,HU	4346010 	3787953 	3674802 	3642637 	3151804 	3184657 	3218509 	2961071 	2272685 	2164844 	2442236 	2537069 
A,PER,DOM,N1-3,Y25-34,NR,IE	1847979 	1730067 	1924063 	1598114 	1880141 	1782161 	1877728 	1868368 	1457364 	1004747 	2103419 	1959031 
A,PER,DOM,N1-3,Y25-34,NR,IT	6745065 	5592779 	5087347 b	4989070 	5452448 	6356320 	6868414 	6123890 	3351211 	3123835 	4469319 	3713634 
A,PER,DOM,N1-3,Y25-34,NR,LT	793619 	746956 	681338 	682030 	672733 	696638 	758665 	793890 	695492 	809207 	1026282 	1157045 
A,PER,DOM,N1-3,Y25-34,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	28385 	31089 	24371 u	52279 
A,PER,DOM,N1-3,Y25-34,NR,LV	1241998 	1134663 	956373 	1172071 	1076267 	1204453 	1091700 	830213 	444381 	768339 	900345 	914979 
A,PER,DOM,N1-3,Y25-34,NR,ME	: 	: 	: 	: 	189250 	263272 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-34,NR,MK	: 	: 	: 	: 	: 	: 	: 	38966 u	98293 	41940 u	: 	: 
A,PER,DOM,N1-3,Y25-34,NR,MT	60256 u	47043 u	99425 b	91978 	143873 	122474 	103665 	108572 	177065 	191621 	150456 	181164 
A,PER,DOM,N1-3,Y25-34,NR,NL	6184997 b	5217891 	5111490 	4983233 	4923212 	4919630 	4955277 	4655884 	4788182 	7898645 	5081136 	5523297 
A,PER,DOM,N1-3,Y25-34,NR,NO	: 	1879459 	2529854 	2100455 	2574360 	2808068 	3630972 	: 	: 	3854923 	4177951 	4450070 
A,PER,DOM,N1-3,Y25-34,NR,PL	12305000 	10222761 	9261453 b	10003886 	9021861 	10554907 	11370728 	9938459 	7653741 	9566777 	9925948 	9434686 
A,PER,DOM,N1-3,Y25-34,NR,PT	2443370 	2341918 	2218358 	2265067 	1986219 	1959821 	1955131 	1915110 	1128667 	1517225 	2094295 	2404684 
A,PER,DOM,N1-3,Y25-34,NR,RO	4745293 	5599904 	5360649 	4933169 	5261556 	5210083 	5281787 	5438751 	3715974 	5013366 	5393204 	4663449 
A,PER,DOM,N1-3,Y25-34,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-34,NR,SE	: 	: 	5464655 	6802395 	6325274 	5402125 	4868699 	4866738 	6507926 	7448675 	5614375 	: 
A,PER,DOM,N1-3,Y25-34,NR,SI	687848 	741701 	552122 	440357 	411587 	420019 	619722 	362304 	235970 u	821830 	882632 	745212 
A,PER,DOM,N1-3,Y25-34,NR,SK	753593 	1655158 b	1370049 	1301448 	1654332 	2059806 	1932563 	1735132 	1078303 	1315010 	1890725 	1442130 
A,PER,DOM,N1-3,Y25-34,NR,UK	20492167 	20016648 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-44,NR,AL	: 	: 	: 	: 	: 	1385191 	: 	1568145 	1098140 	: 	: 	: 
A,PER,DOM,N1-3,Y25-44,NR,AT	4159035 	4418585 	4878822 	4292248 	4765834 	4572201 	4829411 	5255649 	5098900 	5011632 	6582023 	6722970 
A,PER,DOM,N1-3,Y25-44,NR,BE	1211485 	1290156 	1015762 	1543527 	1258330 	1761728 b	1898622 	2260298 	1673697 	2956122 	2436253 	2524719 
A,PER,DOM,N1-3,Y25-44,NR,BG	1629665 b	1705577 	2017490 	1416656 	1480816 	2571289 	2014260 	2382412 	1255344 	1847207 	1913991 	1831409 
A,PER,DOM,N1-3,Y25-44,NR,CH	2729493 	2608325 	2818759 	2628043 	2294715 	2091369 	1922620 	3205459 	2950708 	3258238 	2814311 	: 
A,PER,DOM,N1-3,Y25-44,NR,CY	898105 b	593057 	791744 	738156 	638943 	660456 	693726 	713868 	775149 	1000871 	674072 	857125 
A,PER,DOM,N1-3,Y25-44,NR,CZ	14627398 	14499635 	14319758 	13739933 	15442842 	16387153 	15583183 	14959754 	9483134 	11458000 	12309884 	10395550 
A,PER,DOM,N1-3,Y25-44,NR,DE	58282544 	58123035 	51871335 	59317579 	61228521 	53789684 	56295882 	56488219 	43672540 	49385847 	53861192 	62956963 
A,PER,DOM,N1-3,Y25-44,NR,DK	8192484 	8081204 b	8691330 	9110076 	8161062 	6657541 	4104008 	6973771 	8181773 	5575799 	5360669 	4679847 
A,PER,DOM,N1-3,Y25-44,NR,EA20	267255559 	256299970 	246587665 	256200426 	257218113 	257946405 	254863172 	243114761 	178463452 	214657023 	234239618 	258983739 
A,PER,DOM,N1-3,Y25-44,NR,EE	1051767 	1158395 	1448037 	1643865 	1986372 	1882497 	2667982 	1824799 	1306369 	1340773 	1625417 	1743338 
A,PER,DOM,N1-3,Y25-44,NR,EL	2267863 	1094960 	1400490 	1296923 	1193509 	1220758 	1446650 	1151275 	1070382 	1034585 	1533255 	1288003 
A,PER,DOM,N1-3,Y25-44,NR,ES	63947694 	61026764 	59376428 	67759483 b	68136862 	68986291 	66769822 	61282021 	33373796 	47402736 	54934076 	59936256 
A,PER,DOM,N1-3,Y25-44,NR,EU27_2020	339467910 e	325728113 e	315265791 	328342203 	328332978 	330581413 	326445015 	314737148 	241026809 	282995198 	304500578 	323911509 e
A,PER,DOM,N1-3,Y25-44,NR,FI	13686498 b	14438534 	13528142 	14013954 	13975927 	14196156 	13707646 	14757476 	11111751 	13466299 	12203568 	9939847 
A,PER,DOM,N1-3,Y25-44,NR,FR	73904355 	70223413 	69289926 	64140587 	59639793 	65253932 	57807778 	55389488 	49504903 	55807803 	57899797 	72043889 
A,PER,DOM,N1-3,Y25-44,NR,HR	2312240 	2022167 	1687982 	1444683 	957305 	988674 	1408065 	1293186 	1116099 	1354428 	1363561 	1450788 
A,PER,DOM,N1-3,Y25-44,NR,HU	8493278 	6922814 	7063596 	7424560 	6994361 	7173379 	7241403 	6410571 	4265834 	4525989 	5209675 	5284105 
A,PER,DOM,N1-3,Y25-44,NR,IE	3939537 	3945572 	4378027 	4158670 	4363698 	4300785 	5025496 	5092629 	3351004 	2525366 	5349059 	4786635 
A,PER,DOM,N1-3,Y25-44,NR,IT	18219984 	14498525 	14092720 b	13615668 	15270942 	16330875 	18103032 	13541378 	9096038 	8059172 	11381861 	9896001 
A,PER,DOM,N1-3,Y25-44,NR,LT	1374856 	1254336 	1218018 	1219018 	1161059 	1207184 	1299167 	1340002 	1145710 	1459856 	1867220 	2063016 
A,PER,DOM,N1-3,Y25-44,NR,LU	9468 u	: u	: u	: u	: u	: u	: u	15130 u	67428 	66447 	77838 	92115 
A,PER,DOM,N1-3,Y25-44,NR,LV	2163145 	1892302 	1892664 	1806825 	1909124 	1950704 	1766102 	1651903 	805682 	1465887 	1845975 	1744428 
A,PER,DOM,N1-3,Y25-44,NR,ME	: 	: 	: 	: 	419927 	493740 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	73336 	169562 	118503 	: 	: 
A,PER,DOM,N1-3,Y25-44,NR,MT	134208 	111521 	147245 b	148851 	199331 	183163 	174234 	174580 	299916 	326452 	269447 	319031 
A,PER,DOM,N1-3,Y25-44,NR,NL	11336400 b	10276883 	9622267 	9573680 	9433639 	9377971 	9067005 	8850249 	8156183 	12526121 	8321764 	9090166 
A,PER,DOM,N1-3,Y25-44,NR,NO	: 	4839578 	5918029 	5766140 	6082320 	5717273 	7486209 	: 	: 	6825334 	7525583 	7860400 
A,PER,DOM,N1-3,Y25-44,NR,PL	20157007 	17962164 	16424318 b	18696366 	17652613 	19308819 	20908589 	20335946 	18459028 	21524556 	23815810 	22362667 
A,PER,DOM,N1-3,Y25-44,NR,PT	5424646 	5711484 	5834251 	5946938 	6158239 	6246368 	6340838 	6607480 	3543330 	4580707 	5946492 	5597553 
A,PER,DOM,N1-3,Y25-44,NR,RO	9154462 	10220426 	10285201 	9387969 	10146062 	10074721 	10387248 	10182293 	7112372 	9798006 	10176421 	8383193 
A,PER,DOM,N1-3,Y25-44,NR,RS	: 	: 	: 	: 	: 	: 	627509 u	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y25-44,NR,SE	: 	: 	9876433 	12366218 	11237109 	10462106 	11343151 	10377639 	13805872 	13608617 	11474509 	: 
A,PER,DOM,N1-3,Y25-44,NR,SI	1294972 	1248989 	1116618 	838630 	901985 	954787 	1174457 	772184 	598041 	1879089 	1609579 	1917045 
A,PER,DOM,N1-3,Y25-44,NR,SK	1636758 	2959613 b	2986230 	2695054 	4035165 	4072716 	4376367 	4652948 	2696535 	3006830 	4457171 	4013849 
A,PER,DOM,N1-3,Y25-44,NR,UK	40369394 	40127214 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y35-44,NR,AL	: 	: 	: 	: 	: 	599936 	: 	733919 	433278 	: 	: 	: 
A,PER,DOM,N1-3,Y35-44,NR,AT	2369553 	2274748 	2435610 	2232095 	2261003 	2314888 	2462788 	2367732 	2381072 	2392205 	2997542 	3224556 
A,PER,DOM,N1-3,Y35-44,NR,BE	744653 	514536 	461475 	631791 	723477 	913396 b	976544 	1014082 	710137 	1404020 	1231424 	1290233 
A,PER,DOM,N1-3,Y35-44,NR,BG	826901 b	1005022 	949734 	679208 	790323 	1459009 	1121849 	1211828 	641561 	948417 	1072858 	1011240 
A,PER,DOM,N1-3,Y35-44,NR,CH	1373641 	1349718 	1741278 	1380518 	993491 	1035814 	934215 	1566169 	1375295 	1427459 	1641507 	: 
A,PER,DOM,N1-3,Y35-44,NR,CY	378116 b	229368 	392232 	382271 	360442 	418606 	448022 	468932 	558094 	755555 	472947 	496556 
A,PER,DOM,N1-3,Y35-44,NR,CZ	6877173 	7037362 	7277879 	7595167 	8067245 	8913221 	8987155 	8108653 	4888358 	7046598 	7219980 	5287990 
A,PER,DOM,N1-3,Y35-44,NR,DE	26742324 	23982915 	22148222 	25061267 	25498662 	23559965 	22739470 	24232168 	17915030 	19474056 	20338772 	28543297 
A,PER,DOM,N1-3,Y35-44,NR,DK	3885311 	3901444 b	4198271 	4976436 	3654939 	2943433 	1953531 	3448857 	3629851 	2057234 	2345761 	2059897 
A,PER,DOM,N1-3,Y35-44,NR,EA20	138025959 	128367388 	126994504 	129475703 	130472926 	130745920 	128645573 	122675050 	87718823 	105958431 	121342135 	137578419 
A,PER,DOM,N1-3,Y35-44,NR,EE	399263 	489176 	612963 	707139 	841585 	742760 	1103192 	785726 	566540 	728524 	860167 	844884 
A,PER,DOM,N1-3,Y35-44,NR,EL	1134630 	647307 	820237 	738570 	696414 	822006 	854334 	674664 	675821 	639075 	843649 	727960 
A,PER,DOM,N1-3,Y35-44,NR,ES	37791168 	37215629 	37546473 	39316259 b	38382256 	38667379 	38035749 	34253266 	18020559 	25428578 	32445788 	44482673 
A,PER,DOM,N1-3,Y35-44,NR,EU27_2020	170472026 e	160289201 e	159308376 	165219539 	165255082 	166728836 	165848778 	159545818 	120371372 	141274187 	159281385 	171456216 e
A,PER,DOM,N1-3,Y35-44,NR,FI	6004483 b	6281197 	5561086 	5880321 	6081834 	6002548 	6137504 	7073668 	5423066 	5894342 	5493662 	4909965 
A,PER,DOM,N1-3,Y35-44,NR,FR	36517876 	33369765 	32717955 	31298286 	29935205 	31741908 	28062842 	26783225 	24449218 	30069083 	33509410 	30895880 
A,PER,DOM,N1-3,Y35-44,NR,HR	1171421 	664468 	1005981 	744211 	456886 	455979 	657170 	726449 	644437 	758617 	645347 	736031 
A,PER,DOM,N1-3,Y35-44,NR,HU	4147268 	3134861 	3388794 	3781923 	3842557 	3988722 	4022894 	3449500 	1993149 	2361145 	2767439 	2747036 
A,PER,DOM,N1-3,Y35-44,NR,IE	2091558 	2215505 	2453964 	2560555 	2483557 	2518624 	3147768 	3224261 	1893640 	1520619 	3245640 	2827604 
A,PER,DOM,N1-3,Y35-44,NR,IT	11474919 	8905746 	9005373 b	8626598 	9818494 	9974555 	11234617 	7417488 	5744827 	4935338 	6912542 	6182367 
A,PER,DOM,N1-3,Y35-44,NR,LT	581237 	507380 	536680 	536988 	488326 	510545 	540502 	546112 	450218 	650649 	840939 	905970 
A,PER,DOM,N1-3,Y35-44,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	39043 	35358 	53466 	39835 
A,PER,DOM,N1-3,Y35-44,NR,LV	921146 	757639 	936291 	634754 	832857 	746251 	674402 	821690 	361301 	697547 	945630 	829449 
A,PER,DOM,N1-3,Y35-44,NR,ME	: 	: 	: 	: 	230676 	230469 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y35-44,NR,MK	: 	: 	: 	: 	: 	: 	: 	34369 u	71268 u	76564 	: 	: 
A,PER,DOM,N1-3,Y35-44,NR,MT	73952 u	64478 u	47820 b	56873 	55458 	60689 	70569 	66007 	122850 	134830 	118991 	137867 
A,PER,DOM,N1-3,Y35-44,NR,NL	5151403 b	5058992 	4510777 	4590447 	4510427 	4458341 	4111729 	4194364 	3368002 	4627476 	3240627 	3566870 
A,PER,DOM,N1-3,Y35-44,NR,NO	: 	2960119 	3388175 	3665685 	3507960 	2909206 	3855237 	: 	: 	2970411 	3347632 	3410330 
A,PER,DOM,N1-3,Y35-44,NR,PL	7852007 	7739403 	7162865 b	8692480 	8630752 	8753912 	9537861 	10397488 	10805287 	11957779 	13889861 	12927981 
A,PER,DOM,N1-3,Y35-44,NR,PT	2981276 	3369566 	3615892 	3681871 	4172019 	4286547 	4385707 	4692370 	2414664 	3063482 	3852197 	3192869 
A,PER,DOM,N1-3,Y35-44,NR,RO	4409169 	4620523 	4924552 	4454800 	4884506 	4864637 	5105461 	4743542 	3396397 	4784640 	4783217 	3719743 
A,PER,DOM,N1-3,Y35-44,NR,RS	: 	: 	: 	: 	: 	: 	270553 u	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y35-44,NR,SE	: 	: 	4411777 	5563823 	4911835 	5059981 	6474453 	5510901 	7297945 	6159942 	5860134 	: 
A,PER,DOM,N1-3,Y35-44,NR,SI	607124 	507288 	564496 	398273 	490398 	534768 	554735 	409880 	362071 	1057258 	726947 	1171833 
A,PER,DOM,N1-3,Y35-44,NR,SK	883165 	1304455 b	1616180 	1393606 	2380833 	2012910 	2443804 	2917817 	1618232 	1691820 	2566445 	2571719 
A,PER,DOM,N1-3,Y35-44,NR,UK	19877227 	20110566 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y45-54,NR,AL	: 	: 	: 	: 	: 	629216 	: 	708518 	384904 	: 	: 	: 
A,PER,DOM,N1-3,Y45-54,NR,AT	2572206 	2755571 	2970387 	2795585 	2849768 	2915463 	3114152 	3099493 	2302711 	2366315 	3625247 	3030625 
A,PER,DOM,N1-3,Y45-54,NR,BE	607337 	633363 	673766 	727017 	540643 	719511 b	886542 	846346 	711489 	1335988 	1078850 	1274506 
A,PER,DOM,N1-3,Y45-54,NR,BG	556163 b	554786 	586718 	507153 	614090 	1023546 	996114 	933165 	529860 	791634 	808967 	984969 
A,PER,DOM,N1-3,Y45-54,NR,CH	1509520 	1682203 	1178069 	1012983 	1303780 	1525178 	1306902 	1017916 	1307548 	1201334 	771693 	: 
A,PER,DOM,N1-3,Y45-54,NR,CY	217758 b	211733 	189338 	222542 	224145 	269504 	282521 	298220 	378283 	464294 	372698 	277805 
A,PER,DOM,N1-3,Y45-54,NR,CZ	5100594 	4948902 	6154383 	4558763 	5122867 	6576665 	6481136 	6435199 	4624307 	5538671 	6417998 	4870191 
A,PER,DOM,N1-3,Y45-54,NR,DE	31604557 	32375490 	31589573 	28860698 	26387441 	24943130 	28899807 	27056297 	17864420 	19452685 	18729726 	21281632 
A,PER,DOM,N1-3,Y45-54,NR,DK	3870546 	4031781 b	4530416 	4679197 	3702272 	3360642 	2173016 	3826391 	3598463 	3031471 	2003994 	2105726 
A,PER,DOM,N1-3,Y45-54,NR,EA20	123571511 	122132059 	118482094 	113285633 	116595898 	118020091 	124985402 	121602490 	87290158 	110850621 	125095354 	121541690 
A,PER,DOM,N1-3,Y45-54,NR,EE	250036 	338351 	419810 	546480 	583859 	574687 	942627 	670524 	466154 	583990 	557819 	667991 
A,PER,DOM,N1-3,Y45-54,NR,EL	1190727 	624568 	781192 	658762 	720555 	773662 	807790 	576950 	528732 	685025 	782675 	799565 
A,PER,DOM,N1-3,Y45-54,NR,ES	35792883 	35645271 	32281705 	32686671 b	33211559 	34297100 	35198802 	34940201 	18005981 	26743128 	32541608 	34735839 
A,PER,DOM,N1-3,Y45-54,NR,EU27_2020	149706560 e	149151139 e	145890910 	139367046 	145297178 	150538508 	155908942 	155924633 	120104303 	146597214 	164882232 	161729187 e
A,PER,DOM,N1-3,Y45-54,NR,FI	6349600 b	6374259 	5551578 	5595146 	5759101 	6110239 	5479972 	5382448 	3684063 	5286785 	5146155 	4645789 
A,PER,DOM,N1-3,Y45-54,NR,FR	23276647 	23578046 	23704609 	22601052 	23818430 	26076466 	26361481 	26004777 	27095870 	34619010 	37378833 	30267014 
A,PER,DOM,N1-3,Y45-54,NR,HR	953587 	1242730 	1065713 	543182 	529870 	441376 	445382 	783965 	412974 	612286 	483680 	648834 
A,PER,DOM,N1-3,Y45-54,NR,HU	2619355 	2274670 	2542149 	2667191 	2747014 	2977352 	2613792 	3080866 	2124412 	2468216 	3621085 	2905153 
A,PER,DOM,N1-3,Y45-54,NR,IE	1668731 	1512180 	1676704 	1788099 	1729041 	1881159 	1979324 	2070247 	1587960 	960368 	2806940 	2551290 
A,PER,DOM,N1-3,Y45-54,NR,IT	9049665 	7846174 	7628904 b	6810513 	10250249 	8242443 	9376274 	8653015 	5764549 	5085715 	8937195 	8155040 
A,PER,DOM,N1-3,Y45-54,NR,LT	515375 	475580 	534533 	535466 	491349 	510563 	558687 	488180 	453328 	633019 	748836 	788967 
A,PER,DOM,N1-3,Y45-54,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	17095 u	28708 	26243 u	31795 u
A,PER,DOM,N1-3,Y45-54,NR,LV	710437 	633012 	690710 	533739 	630606 	533823 	512756 	457726 	268556 	652421 	619400 	591381 
A,PER,DOM,N1-3,Y45-54,NR,ME	: 	: 	: 	: 	216184 	198675 	: 	: 	: 	: 	: 	: 
A,PER,DOM,N1-3,Y45-54,NR,MK	: 	: 	: 	: 	: 	: 	: 	32221 u	57692 	24126 u	: 	: 
A,PER,DOM,N1-3,Y45-54,NR,MT	59636 u	46816 u	48180 b	55767 	60028 	70315 	56662 	64658 	95392 	95591 	98078 	116104 
A,PER,DOM,N1-3,Y45-54,NR,NL	5485781 b	4584687 	5238816 	4527370 	4640290 	4743472 	4730286 	4163180 	3584767 	6240527 	4583333 	4704500 
A,PER,DOM,N1-3,Y45-54,NR,NO	: 	2278394 	2931762 	2893210 	3198907 	3319452 	5393305 	: 	: 	5311544 	6100156 	4270338 
