freq,purpose,duration,c_dest,expend,statinfo,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,MT	: 	: 	: b	: 	: 	: 	: 	: 	: u	: u	: u	0 u
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,NL	: b	: 	: 	: 	: 	: 	: 	: 	0 u	0 u	0 	0 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,PL	: 	: 	: b	: 	: 	: 	: 	: 	66.46 	140.41 	111.17 	102.13 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,PT	: 	: 	: 	: 	: 	: 	: 	: 	3.09 	0 	2.95 	10.50 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	85.82 	71.59 	26.41 	79.32 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1.75 	43.32 	27.63 	: 
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	15.26 u	: u	16.80 u
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,SK	: 	: b	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,AVG_TRP,EUR,UK	: @C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	15841051 	10450415 	23342127 	74380378 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	131644011 	93886262 	185569091 	391207855 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	905059 u	0 u	0 u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	367853320 	275059113 	444552671 	781107886 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	634102 	3089612 	2978809 	215645 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	0 	3930050 	3206724 	25914675 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	405697506 	390318353 	552220168 	909901470 e
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	9799896 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	206923418 	154172567 	220085460 	205002161 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	0 u	851332 u	2854461 u	30597676 u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	0 u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	805477 u	: u	2376469 u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,IT	: 	: 	: 	: 	: 	: 	: 	: 	8578332 u	6401874 	0 	36075360 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	0 u	0 u	0 	0 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	0 u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	0 u	0 u	0 	0 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	19889056 	53811075 	55308656 	51202379 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,PT	: 	: 	: 	: 	: 	: 	: 	: 	495066 	0 	629361 	2696472 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	16006884 	22016630 	8937575 	26977084 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1948246 	38526475 	43421266 	: 
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	477166 u	: u	485496 u
A,PROF,N_GE4,DOM,PACK_ARR,TOTAL,EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	16.99 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.94 	19.37 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,BE	: 	: u	: u	0 u	: u	: u	: u	15.29 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,BG	: u	4.82 u	: u	: u	9.99 u	: u	7.40 u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,CY	: b	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,CZ	8.81 u	8.25 	9.19 u	10.50 u	8.48 u	10.56 u	5.66 u	8.36 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,DE	: 	: 	: 	: 	: 	: 	15.74 	21.01 	13.97 	11.82 	15.53 	22.27 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,DK	: 	: b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,EE	: u	5.77 u	6.81 u	4.99 u	8.66 u	13.19 u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,EL	4.58 	6.96 	5.51 	9.41 	7.29 	8.20 	15.23 	18.58 	16.79 	13.92 	18.57 	24.91 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,ES	7.08 	6.10 	6.63 	20.20 b	17.90 	17.12 	18.70 	18.53 	14.46 	17.27 	21.10 	22.25 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,FI	12.89 b	15.42 	11.46 	16.86 	16.79 	13.89 	16.70 	13.23 	6.68 	7.34 	17.05 	16.48 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,FR	11.59 b	12.66 	12.72 	12.77 	12.14 	8.45 	10.78 	9.83 	10.81 	11.76 	15.94 	11.87 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,HR	9.00 	4.67 	5.07 	8.00 u	11.38 	8.52 	9.19 	8.20 	13.28 u	9.19 u	18.92 u	18.05 u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,HU	0.91 	1.34 u	2.45 u	1.81 u	3.95 u	1.04 u	3.22 u	: u	: u	: u	: u	3.55 u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,IT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,LT	1.90 	4.13 	1.00 	1.92 	2.36 	2.75 	2.15 	2.39 	2.62 u	3.57 u	6.57 	4.31 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,LU	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,LV	1.01 u	6.28 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,MT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,NL	40.04 bu	16.62 u	17.71 u	19.19 u	19.44 u	20.66 u	17.58 u	9.26 	8.73 u	2.81 u	14.31 	9.04 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,NO	: 	19.51 	20.95 	23.80 	18.45 	25.31 	18.18 	: 	: 	31.78 	34.92 	26.39 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,PL	9.18 	6.68 	8.86 b	7.79 	9.54 	9.77 	10.76 	11.82 	11.22 	10.23 	11.21 	14.95 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,PT	3.80 	3.66 	7.94 	10.12 	9.90 	11.01 	12.05 	13.31 	10.92 	12.34 	14.66 	16.69 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,RO	2.04 	3.75 	3.17 	3.56 	3.81 	5.09 	4.99 	6.74 	9.42 	9.29 	12.37 	12.59 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,SE	: 	: 	: 	: 	: 	22.56 	17.25 	13.72 	13.57 	13.57 	12.28 	: 
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	13.43 u	: u	8.40 u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,SK	: 	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_NGT,EUR,UK	: @C	16.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,AL	: 	: 	: 	: 	: 	196.53 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	154.05 	137.05 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,BE	: 	: u	: u	0 u	: u	: u	: u	92.41 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,BG	: u	38.09 u	: u	: u	96.41 u	: u	72.56 u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,CY	: b	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,CZ	55.28 u	42.02 	40.18 u	56.91 u	40.11 u	55.32 u	34.69 u	42.37 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,DE	: 	: 	: 	: 	: 	: 	94.61 	150.08 	98.75 	121.09 	110.43 	120.60 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,DK	: 	: b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,EE	: u	34.49 u	49.32 u	43.30 u	69.25 u	68.95 u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,EL	103.92 	136.43 	125.11 	158.52 	144.00 	132.21 	168.23 	181.89 	180.50 	214.56 	168.20 	200.98 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,ES	45.23 	37.74 	46.72 	134.85 b	124.51 	114.03 	111.79 	111.58 	125.25 	115.93 	152.56 	147.95 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,FI	92.11 b	99.53 	85.02 	105.07 	92.85 	90.06 	83.20 	65.09 	65.67 	53.74 	111.58 	102.79 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,FR	79.92 b	87.83 	95.43 	96.19 	83.63 	60.43 	77.97 	69.58 	73.29 	70.28 	99.42 	85.00 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,HR	64.81 	44.03 	80.88 	88.84 u	90.38 	89.47 	71.30 	97.90 	103.85 u	79.80 u	106.39 u	175.56 u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,HU	7.73 	7.39 u	13.02 u	13.32 u	25.76 u	6.15 u	16.76 u	: u	: u	: u	: u	18.03 u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,IT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,LT	9.91 	30.91 	6.13 	12.94 	16.03 	19.53 	14.55 	13.13 	11.41 u	17.71 u	32.03 	25.18 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,LU	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,LV	5.56 u	43.96 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,MT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,NL	186.35 bu	84.06 u	81.75 u	147.22 u	166.79 u	180.06 u	114.24 u	89.82 	112.75 u	32.60 u	113.02 	86.79 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,NO	: 	177.22 	188.86 	198.49 	147.81 	175.43 	160.91 	: 	: 	266.31 	238.30 	184.57 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,PL	68.21 	56.03 	82.29 b	90.47 	88.48 	91.35 	98.27 	116.53 	102.71 	126.70 	132.96 	155.70 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,PT	28.11 	30.55 	71.80 	67.30 	70.30 	80.19 	104.79 	105.89 	99.93 	99.89 	131.13 	125.17 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,RO	26.02 	43.49 	34.44 	34.92 	37.52 	47.60 	45.73 	63.70 	76.69 	82.45 	102.28 	103.13 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,SE	: 	: 	: 	: 	: 	156.20 	92.19 	78.98 	79.29 	77.66 	85.75 	: 
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	78.40 u	: u	41.88 u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,SK	: 	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,PROF,N_GE4,DOM,REST,AVG_TRP,EUR,UK	: @C	94.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,AL	: 	: 	: 	: 	: 	29435426 	: 	: 	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36390197 	59684966 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,BE	: 	: u	: u	0 u	: u	: u	: u	4910952 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,BG	: u	1960732 u	: u	: u	2838041 u	: u	2112789 u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,CY	: b	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,CZ	5512248 u	7785373 	5381375 u	3899654 u	5447556 u	6388617 u	3547705 u	4381072 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,DE	: 	: 	: 	: 	: 	: 	578136264 	912707883 	297506467 	608332439 	564949153 	744659850 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,DK	: 	: b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,EE	: u	576610 u	1439445 u	1847023 u	3983164 u	2859453 u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,EL	10314121 	12832529 	14158181 	13755469 	17639474 	9969857 	7814665 	16723311 	8244830 	9672142 	12292942 	8201056 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,ES	213492039 	126776049 	115902503 	142534355 b	199609368 	153056925 	154206708 	133841791 	83682934 	117354785 	161813034 	181668865 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,FI	34550484 b	26264538 	25693785 	30856712 	38750367 	33017226 	33165003 	31634752 	30348410 	21353494 	54896454 	52484050 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,FR	452673762 b	461577822 	462321327 	334537613 	318522205 	303527606 	375044797 	324767831 	281568008 	313973400 	450090998 	300357242 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,HR	12587308 	8305132 	12380082 	12166469 u	10058129 	16956868 	9233236 	9979767 	4704741 u	6508798 u	9331243 u	18749861 u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,HU	1238248 	193445 u	369645 u	249939 u	994895 u	110023 u	285961 u	: u	: u	: u	: u	518946 u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,IT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,LT	288571 	685237 	162157 	340561 	370520 	420429 	316822 	227776 	231118 u	380630 u	752039 	618590 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,LU	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,LV	267319 u	1513855 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,MT	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,NL	17732957 bu	6249363 u	5729328 u	7412745 u	16751220 u	16754417 u	10873932 u	10638386 	12200746 u	1747075 u	11783037 	8958733 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,NO	: 	69278749 	119351289 	81104778 	77872402 	93307321 	93670858 	: 	: 	123719666 	223301129 	168205280 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,PL	92513394 	45546161 	28843111 b	30229732 	32798180 	39752712 	45177455 	53819279 	30738783 	48558816 	66148255 	78060016 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,PT	5329082 	10143290 	13705928 	20812701 	17295111 	15078571 	25467897 	31919939 	16002871 	15803658 	27999470 	32141699 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,RO	9753996 	17811307 	14722524 	18120786 	14502997 	22934562 	22085489 	32721052 	14304356 	25355930 	34609045 	35073784 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,SE	: 	: 	: 	: 	: 	206429459 	95279782 	76987521 	88029970 	69061680 	134751988 	: 
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,SI	: u	: u	: u	: u	: u	: u	: u	: u	: 	2450838 u	: u	1210496 u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,SK	: 	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,PROF,N_GE4,DOM,REST,TOTAL,EUR,UK	: @C	288076961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,AL	: 	: 	: 	: 	: 	33.04 	: 	15.17 u	: u	: 	: 	: 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,AT	63.79 	58.15 	71.55 	73.15 	98.09 	87.44 	92.93 	80.88 	58.99 	87.88 	105.64 	124.08 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,BE	34.91 u	: u	: u	107.48 u	: u	: u	: u	73.53 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,BG	: u	15.33 u	: u	: u	29.54 u	: u	24.28 u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,CY	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,CZ	33.18 u	30.83 	35.01 u	53.21 u	39.65 u	55.33 u	36.52 u	51.37 u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,DE	97.18 	106.34 	83.50 	115.97 	86.70 	78.90 	105.46 	105.48 	82.41 	73.48 	98.06 	131.27 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,DK	69.31 u	10.80 bu	: u	79.71 	79.22 	118.02 	129.22 	81.51 	: u	36.88 u	69.89 u	47.97 u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,EA20	66.73 	74.55 	65.37 	90.57 	77.84 	75.36 	88.97 	85.73 	72.88 	75.12 	92.72 	104.94 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,EE	: u	21.45 u	30.45 u	21.45 u	31.28 u	43.81 u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,EL	13.30 	24.49 	19.53 	26.11 	21.72 	30.07 	53.69 	52.85 	47.53 	50.91 	65.59 	88.73 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,ES	37.32 	40.60 	35.77 	72.73 b	84.90 	85.57 	90.73 	90.87 	64.52 	90.25 	93.67 	99.77 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,EU27_2020	62.51 e	67.07 e	62.17 	83.45 	72.31 	79.39 	86.18 	83.28 	71.69 	72.05 	87.75 	99.32 e
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,FI	79.50 b	93.24 	69.72 	99.77 	107.47 	86.14 	99.39 	101.90 	57.14 	57.31 	99.57 	108.01 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,FR	63.12 b	70.66 	69.71 	73.82 	70.13 	66.85 	79.92 	70.87 	72.85 	82.93 	93.41 	89.30 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,HR	33.12 	31.29 	17.33 	42.35 u	51.79 	48.28 	47.00 	42.76 	59.83 u	56.57 u	157.28 u	76.14 u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,HU	13.38 	20.70 u	19.94 u	17.19 u	19.72 u	17.78 u	29.62 u	: u	: u	: u	: u	36.91 u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,IE	95.84 u	99.50 u	81.15 	88.06 u	115.10 u	146.46 u	106.31 u	57.76 u	51.50 u	: u	92.31 u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,IT	100.96 	100.98 	41.35 b	59.97 	69.98 	107.66 u	77.18 	67.69 	65.39 u	67.09 	66.91 	69.05 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,LT	7.77 	11.22 	14.38 	21.16 	18.41 	24.97 	18.93 	19.10 	22.18 u	15.19 u	17.71 	33.86 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,LU	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,LV	11.38 u	16.74 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,PROF,N_GE4,DOM,TOTXDUR,AVG_NGT,EUR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
