freq,c_dest,purpose,duration,sex,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DOM,PER,N_GE1,F,NR,UK	49000192 	47148634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,M,NR,AL	: 	: 	: 	: 	: 	1634017 	: 	1995133 	1413938 	: 	: 	: 
A,DOM,PER,N_GE1,M,NR,AT	4143902 	4420343 	4396864 	4128206 	4655483 	4643907 	5043997 	5331284 	4325466 	4491485 	6483819 	5877465 
A,DOM,PER,N_GE1,M,NR,BE	1175257 	1195035 	1036679 	1509117 	1246220 	1433400 b	1699353 	1803914 	1557877 	2453823 	2107321 	2186040 
A,DOM,PER,N_GE1,M,NR,BG	1433990 b	1609137 	1470128 	1194196 	1344838 	2237567 	1899619 	1853872 	1103293 	1432075 	1568721 	1702318 
A,DOM,PER,N_GE1,M,NR,CH	2824613 	3266617 	2967458 	2499757 	2916447 	2942654 	2908626 	2924102 	3249074 	3070422 	3313186 	: 
A,DOM,PER,N_GE1,M,NR,CY	633905 b	625115 	577798 	623867 	616285 	678941 	727996 	757669 	809822 	882074 	777583 	740772 
A,DOM,PER,N_GE1,M,NR,CZ	12180964 	11276673 	12465874 	10857388 	12532263 	13503114 	12489986 	12394261 	9945087 	10783784 	11953485 	9347328 
A,DOM,PER,N_GE1,M,NR,DE	62123662 	61363094 	57269996 	63551060 	64861988 	58237782 	60565905 	63442106 	44003115 	52463339 	49194050 	57453101 
A,DOM,PER,N_GE1,M,NR,DK	9681610 	9873381 b	10070319 	11217930 	9014757 	8194186 	4089219 	7061625 	6843849 	4991354 	4484970 	4096569 
A,DOM,PER,N_GE1,M,NR,EA20	278956908 	272493295 	264702860 	265088918 	271412516 	272949358 	280117783 	274745919 	197669096 	244651565 	257541981 	278223009 
A,DOM,PER,N_GE1,M,NR,EE	660016 	743042 	1029223 	1109814 	1366620 	1311926 	1945116 	1498271 	920288 	931346 	1060656 	1384165 
A,DOM,PER,N_GE1,M,NR,EL	3007654 	2221103 	2517034 	2246832 	2130005 	2486680 	2627122 	2317246 	2058267 	2327063 	2847479 	2742374 
A,DOM,PER,N_GE1,M,NR,ES	55925074 	54801042 	53932164 	59077726 b	61660744 	65487004 	65575056 	63381570 	35266545 	51572788 	58382333 	59349742 
A,DOM,PER,N_GE1,M,NR,EU27_2020	347410453 e	338820910 e	330548464 	332596242 	340762307 	345491059 	346911022 	347197728 	265979278 	319303218 	338455096 	359137520 e
A,DOM,PER,N_GE1,M,NR,FI	13188483 b	13028003 	12436872 	12411348 	12746822 	12942431 	12703527 	11304709 	10240058 	13171303 	11375197 	9410849 
A,DOM,PER,N_GE1,M,NR,FR	87363204 	86848689 	86338836 	76697933 	75398663 	77617084 	77456695 	74834279 	62565914 	73225634 	79057087 	93117255 
A,DOM,PER,N_GE1,M,NR,HR	2637062 	2946824 	2308114 	1814587 	1309269 	1217080 	1426975 	1614528 	1169127 	1559526 	1471505 	1549675 
A,DOM,PER,N_GE1,M,NR,HU	6433835 	5395969 	5532250 	5613027 	5473315 	5472324 	5356295 	5498164 	3546271 	3918311 	4861079 	5015575 
A,DOM,PER,N_GE1,M,NR,IE	2683357 	2718100 	2915898 	2892708 	2952393 	3221110 	3551696 	3771309 	2661787 	1920530 	4382859 	4210092 
A,DOM,PER,N_GE1,M,NR,IT	21561146 	18241501 	18011901 b	16715361 	19605316 	19493309 	22849792 	20170812 	12972433 	14112369 	16813293 	15603242 
A,DOM,PER,N_GE1,M,NR,LT	1067249 	1086046 	1093393 	1098376 	1056024 	1034557 	1061307 	1105296 	970078 	1240107 	1420298 	1459614 
A,DOM,PER,N_GE1,M,NR,LU	23336 	30030 	11911 u	13250 u	: u	22062 u	20005 u	18072 	61507 	78439 	83122 	97421 
A,DOM,PER,N_GE1,M,NR,LV	1613107 	1324282 	1436160 	1239983 	1377109 	1367768 	1079632 	1038221 	595634 	1042429 	1236090 	1311894 
A,DOM,PER,N_GE1,M,NR,ME	: 	: 	: 	: 	481655 	445775 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE1,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	80861 	100358 	99165 	: 	: 
A,DOM,PER,N_GE1,M,NR,MT	103255 	91032 	103050 b	96840 	157387 	126578 	115409 	120891 	182854 	206643 	174414 	230092 
A,DOM,PER,N_GE1,M,NR,NL	12648720 b	12141035 	11252073 	10981118 	10797065 	10984865 	11058924 	10929485 	9986508 	13209942 	8702579 	9078634 
A,DOM,PER,N_GE1,M,NR,NO	: 	4648442 	5692445 	5013806 	5789634 	5411106 	7339843 	: 	: 	9500479 	8482445 	8602052 
A,DOM,PER,N_GE1,M,NR,PL	18704982 	18241145 	16647721 b	17341141 	19006684 	20116115 	20837165 	22114880 	17711106 	21673806 	23897630 	23952361 
A,DOM,PER,N_GE1,M,NR,PT	5644634 	5732180 	5575747 	5970325 	6027429 	6689499 	6891864 	7367336 	4930946 	5889337 	7152683 	7248757 
A,DOM,PER,N_GE1,M,NR,RO	7909573 	8064798 	7955587 	7586113 	7961907 	8205412 	8408112 	8749149 	5757479 	8338463 	8398280 	9479418 
A,DOM,PER,N_GE1,M,NR,RS	: 	: 	: 	: 	: 	: 	432371 	: 	: 	: 	: 	: 
